product_name,product_price,Rate,Review,Summary,Sentiment
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,3,good,table is good but leg is not strong and not level,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,very good,good table for this price,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,best in the market!,thank you flipkart for this awsome productthis is what i need,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,hated it!,after few days rust is comingthe black paint vanishes and very bad quality,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,worthless,the one i got was tilted on one side and didnt have flat surface even though price is less there is chance of you losing all money is return process is not so smooth,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,3,nice,table is not stable it shakes when we write are writing to make it stable we need to touch one side of the table to wall,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,simply awesome,good quality,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,awesome,definitely buy it,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,excellent,good product,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,good choice,good comfort for wfh,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,nice product,does the job,1
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,3,decent product,very late delivery from flipkart in 10 days however the product itself is in good condition i am using it for study purpose but it is shaking a little bit while writing fastly,1
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,value-for-money,good one,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,pretty good,use full itam superb,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,great product,good table,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,pretty good,worth,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,very good,budget friendly product good as a study table,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,terrific,good value for money,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,fabulous!,this is amazing product for study i like this table,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,terrific,wow awesome produt in this price rangethank you flipkart for intime deliveryi really too satisfied for this product,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,wonderful,happy to buy that good product in this price your work from or study will be rocks go for it,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,2,expected a better product,received damaged product at corner adjusting,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,brilliant,this table is good for student study,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,perfect product!,arrived 15 days late from the ordered date but the wait was worth for the quality product at such a low price dont think twice before buying just go for it,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,awesome,best one,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,brilliant,good table for studies,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,hated it!,edges were broken,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,great product,table is best but one scratch on it so please improve your packing quilty but table is very good,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,excellent,just loved it quality also good very suitable for work from home,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,super!,multi purpose usedining table for 2 peoplecomputer tablestudy table etc,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,hated it!,worst product dont buy,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,don't waste your money,the product is damaged and the stands are not equal to surface at this price it can be betterand delivery time is taking long,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,hated it!,quality of product is bad road side stalls are selling good quality tables with same or less price,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,horrible,slightly bend in the leg,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,not recommended at all,wood inside is not as per prescription,1
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,value-for-money,the delivery guy was very polite and nice the table is also very good please make it a little higher it will become perfect god bless you all,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,terrible product,very shaking,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,waste of money!,not good the top keeps leaving some black substance,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,horrible,bought corner broken after 1 day of delivery date,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,worst experience ever!,its really bad product,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,terrible product,the product has many scratches when i received it,1
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,useless product,very poor quality,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,very poor,it is not a study table it shakes while writing,1
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,did not meet expectations,damaged,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,not recommended at all,worst product the table keeps falling off even with a slight jerk very poor quality,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,did not meet expectations,my legs were unable to fit in it cause the clips under it was so close and not as like seen in picture so returned it,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,terrible product,damaged and poor quality,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,worthless,worst productbad quality,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,absolute rubbish!,not good quality tables legs are improper,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,worst experience ever!,very poor qualityi hv return it,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,unsatisfactory,some parts are damaged,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,waste of money!,it will be up and down after 10days usingwaste product,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,perfect product!,perfect fit for study dinner and desktop desk,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,terrific purchase,just awesome,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,worst experience ever!,it just kept wobbling off,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,worthless,i dont understand why is flipkart deal with such cheap products the table finishing and quality is cheap if you buy this product you will definitely regrate,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,terrific purchase,good quality and it is sutiable for study many many thanks,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,3,nice,its okbut no very strong average,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,worst experience ever!,stand mechanism very bad,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,2,bad quality,finishing not upto mark no corner biddings prone to child injuries the wood on table has patch which seems inferior quality product could have been better,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,super!,item is good quality but the delivery boys are so lazythey were reluctant to deliver it to the delivery addressit seemed to be pretty busy delivery was made in front of another house i saw a mocking behavior,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,not recommended at all,it doesnt stand properly shaking when write,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,worthless,not good,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,good quality product,nice product,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,value-for-money,goodbut delivered after 17 daysthis made me unpleaser,1
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,wonderful,best table on the basis of size and rate is reasonable,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,terrible product,dont buy,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,unsatisfactory,very poor product with in 1 month all colours of table gone and surface become dry,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,don't waste your money,the piece i received was defected took 8 days to replace and again the product was defected,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,just wow!,good,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,unsatisfactory,fit and finish is not good,1
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,4,very good,table is good but one leg is shorter than others,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,worst experience ever!,shaky as hell its just a okay product,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,worthless,very bad table please dont but,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,absolute rubbish!,received the old and damaged items at both the instances very disappointing,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,1,utterly disappointed,dented and no room to stretch legs dumb manufacturers,0
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,5,best in the market!,nice product i noticed one issue there is less space between tables legs value for money product,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,2,slightly disappointed,cost is high compared to productscratches on top,2
limraz furniture L 56 Engineered Wood Study TableFree Standing Finish Color  brown Preassembled,1298,2,could be way better,there arent enough space to put the leg between the stands,1
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,highly recommended,trust me all this is a great item to purchase at current price on offer free installation with good care good behaviour of staff who came to install deserves 5 star rating wish this company comes up with some smart furniture soon and give a stiff fight to all competitors,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,4,nice product,product is all good delivery also received before given date only thing is the installation person took 5hrs to install the study unit he removed the drawer thrice and installed it so there are extra holes in the unit he made rest i am very happy to have my personal space for my office work at home loved the product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,best in the market!,nice product and the installation guy was really polite i love it thanks flipkart and neudot furniture for the outstanding service and decent product it deserves 5,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,excellent,nice product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,simply awesome,nice,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,4,really nice,good quality desk for laptop use enough space for pro user their is lake of all rig storage at once,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,wonderful,its assume am so happy with thisthank u flipkart,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,highly recommended,good product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,best in the market!,best product and low price project quality best,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,great product,very nice product at such price the person who came for installation was awesome thank you,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,4,really nice,very good,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,3,just okay,a combuter table is good but dont it expecting to install it,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,excellent,super quality and installation,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,terrific purchase,best in this price,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,brilliant,very good product really worth,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,super!,very nice computer table,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,mind-blowing purchase,its good,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,4,delightful,very good quality product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,great product,overall good,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,brilliant,good product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,terrific,only one word its awesome thank you so much flipkart,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,simply awesome,superb i was nt happy before installation once it gets installed it looks great but width is a bit smaller good one go for it,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,4,nice product,sup quality product with low budget,0
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,terrific purchase,i have installed myself it was easy to install fantastic awesome paisa wasol,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,simply awesome,good,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,1,terrible product,very poor quality the material used is particle board and it doesnt have any building quality im not sure about its lasting loss of money,0
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,great product,nice product really good installation done on timebut the product delivery boy is so irresponsible that he delivered the product on another apartmentso i hv to send my security guard to collect it from there,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,brilliant,super,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,worth every penny,nice product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,4,good choice,lifestyle with professionally amazing,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,classy product,this product is too good as compared to the other computer tables in this range flipkart delivered and scheduled the demo in time my son likes it,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,classy product,very good product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,mind-blowing purchase,very good producti am very happy thank you flipkart,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,super!,best product in this price,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,4,good choice,very good product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,worth every penny,good quality smooth fitting and perfect size how i wanted,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,worth every penny,brilliant,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,nice product,yeh it is nice you can buy this table,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,1,don't waste your money,this is sub standard productdue to jeeves person i lost my money in this product unable to return now,0
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,terrific,good quality,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,4,worth the money,nice product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,mind-blowing purchase,very good,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,wonderful,good product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,perfect product!,very well satisfied with the product i got it for 4000 and that makes sense to afford my mom was so happy,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,4,really nice,finish is goodvalue for money,1
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,awesome,super,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,fabulous!,love it quality and installation is best thank you for delivery and installation in time,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,brilliant,very good very nice,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,mind-blowing purchase,good,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,1,very poor,very disappoint for flipkart service and product is average,0
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,brilliant,very nice product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,classy product,very good product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,must buy!,excellent product and superb installation service,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,perfect product!,fantastic,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,just wow!,very very good,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,4,very good,good quality,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,wonderful,nice and good product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,mind-blowing purchase,good product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,worth every penny,awesome product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,awesome,amezing product thnq neudot relish engineered wood,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,simply awesome,osm i like it,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,great product,excellent good quality table,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,terrific,good product installation was also remarkable,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,wonderful,nice one as shown as picture,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,4,delightful,good,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,1,don't waste your money,installation not done by flipkart since last 8 days after delivering the product no one is listening my problem from flipkart worst service ever tried many times to connect with the installer no response till now so sad,0
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,great product,good product but its width should be more,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,classy product,it really good,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,3,nice,small in size compact good product for a small living area,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,highly recommended,good service and product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,just wow!,nice,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,simply awesome,very super computer table nice,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,must buy!,excellent,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,best in the market!,good,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,highly recommended,happy,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,just wow!,good,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,excellent,great,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,great product,very nice,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,excellent,good,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,fabulous!,simply good worthy,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,worth every penny,very good product and service,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,wonderful,good job done,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,simply awesome,worth buying,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,best in the market!,good,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,super!,good product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,great product,superb till now awesome installation service product durability till now going good look wise design very good go for it,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,great product,very good product and perfect finishing,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,terrific,good,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,excellent,very good product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,classy product,nice,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,2,moderate,the table is smaller than what i expected,1
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,brilliant,very nice one go for it worth for money installation person was very good,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,4,pretty good,nice product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,highly recommended,awesum product,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,excellent,nice product im happy with this thank you flipkart,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,terrific,very good quality product go for it,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,5,wonderful,excellent and installation also done very nice,2
NEUDOT RELISH Engineered Wood Computer DeskStraight Finish Color  TEAK Knock Down,4715,2,moderate,desk lock is not working,1
BROWNIE Engineered Wood Study TableFree Standing Finish Color  Brown Preassembled,1299,4,really nice,great value for money the table is steady and well built the legs of the table are made of hollow alluminium and are tough overall value for money product,2
BROWNIE Engineered Wood Study TableFree Standing Finish Color  Brown Preassembled,1299,3,nice,good enough for studying and writing does not support too much load will bend from middle so dont buy if yoi aim to keep heavy loads otherwise serve the purpose,2
BROWNIE Engineered Wood Study TableFree Standing Finish Color  Brown Preassembled,1299,5,must buy!,very nice l love it l have used it for keeping by computer nice table superb price worthy right use of money not costly not cheap,2
BROWNIE Engineered Wood Study TableFree Standing Finish Color  Brown Preassembled,1299,5,classy product,nice table,2
BROWNIE Engineered Wood Study TableFree Standing Finish Color  Brown Preassembled,1299,5,must buy!,great product value for money i will order one more like this table,2
BROWNIE Engineered Wood Study TableFree Standing Finish Color  Brown Preassembled,1299,5,classy product,osm product,2
BROWNIE Engineered Wood Study TableFree Standing Finish Color  Brown Preassembled,1299,5,awesome,as expected tq,2
BROWNIE Engineered Wood Study TableFree Standing Finish Color  Brown Preassembled,1299,4,very good,goodcan be used for both office n study,2
BROWNIE Engineered Wood Study TableFree Standing Finish Color  Brown Preassembled,1299,5,simply awesome,very nice,2
